Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Burgess,20022499,SP,Advance Auto Parts Inc. ,NaN,P,02/24/2023,02/24/2023,"$15,001 - $50,000",New,
Burgess,20022499,SP,Advance Auto Parts Inc. ,NaN,S (partial),02/24/2023,02/24/2023,"$1,001 - $15,000",New,"The terms of the call are a strike price of $140, and an expiration of 4/06/2023."
Burgess,20022499,SP,Blackstone Inc. ,BX,S (partial),02/24/2023,02/24/2023,"$1,001 - $15,000",New,"The terms of the call are a strike price of $89, and an expiration of 04/6/2023."
Burgess,20022499,SP,Blackstone Inc. ,BX,P,02/24/2023,02/24/2023,"$15,001 - $50,000",New,
Burgess,20022499,SP,Microsoft Corporation ,MSFT,P,02/24/2023,02/24/2023,"$15,001 - $50,000",New,
Burgess,20022259,SP,Stryker Corporation ,SYK,S,01/03/2023,01/03/2023,"$100,001 - $250,000",New,
Connolly,20022309,JT,"Dominion Energy, Inc. ",D,S (partial),12/06/2022,12/23/2022,"$1,001 - $15,000",New,
Connolly,20022309,JT,"Leidos Holdings, Inc. ",LDOS,S (partial),12/06/2022,12/23/2022,"$15,001 - $50,000",New,
Connolly,20022309,JT,SCIENCE APPLICATIONS S,NaN,S (partial),12/06/2022,12/23/2022,"$1,001 - $15,000",New,
Connolly,20024004,JT,"Dominion Energy, Inc. ",D,S (partial),11/13/2023,11/13/2023,"$1,001 - $15,000",New,
Connolly,20024004,JT,"Leidos Holdings, Inc. ",LDOS,S (partial),11/13/2023,11/13/2023,"$15,001 - $50,000",New,
Connolly,20024004,JT,SCIENCE APPLICATIONS S,NaN,S (partial),11/13/2023,11/13/2023,"$1,001 - $15,000",New,
Connolly,20023575,JT,"Dominion Energy, Inc. ",D,S (partial),08/15/2023,08/15/2023,"$1,001 - $15,000",New,
Connolly,20023575,JT,"Leidos Holdings, Inc. ",LDOS,S (partial),08/15/2023,08/15/2023,"$1,001 - $15,000",New,
Connolly,20023575,JT,SCIENCE APPLICATIONS S,NaN,S (partial),08/15/2023,08/15/2023,"$1,001 - $15,000",New,
Connolly,20022660,JT,"Dominion Energy, Inc. ",D,S (partial),03/29/2023,03/29/2023,"$1,001 - $15,000",New,
Connolly,20022660,JT,"Leidos Holdings, Inc. ",LDOS,S (partial),03/29/2023,03/29/2023,"$1,001 - $15,000",New,
Connolly,20022660,JT,SCIENCE APPLICATIONS S,NaN,S (partial),03/29/2023,03/29/2023,"$1,001 - $15,000",New,
Crenshaw,20022770,SPDR,S&P 500 ,NaN,P,03/20/2023,04/20/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Eli Lilly and Company ,LLY,Transaction,Date,Notification,Amount,New,
Curtis,20022721,JT,Mastercard Incorporated (MA) [ST] S ,NaN,Transaction,Date,Notification,Amount,New,
Curtis,20022561,JT,Johnson & Johnson (JNJ) [ST] S ,NaN,Transaction,Date,Notification,Amount,New,
Curtis,20022249,JT,"Advanced Micro Devices, Inc. ",AMD,P,12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,Bank of America Corporation ,BAC,S (partial),12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,"Elevance Health, Inc. ",ELV,S,12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,FIRST REPUBLIC BANK ,NaN,P,12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,"Fiserv, Inc. ",NaN,S (partial),12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,JP Morgan Chase & Co. ,JPM,S (partial),12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,UnitedHealth Group Incorporated S,NaN,S (partial),12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20022249,JT,Zoetis Inc. Class A ,ZTS,P,12/20/2022,01/03/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Abbott Laboratories ,ABT,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Adobe Inc. ,ADBE,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Advanced Micro Devices, Inc. ",AMD,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Alphabet Inc.,GOOG,S,12/04/2023,12/04/2023,"$15,001 - $50,000",New,
Curtis,20024152,JT,"Amazon.com, Inc. ",AMZN,S,12/04/2023,12/04/2023,"$15,001 - $50,000",New,
Curtis,20024152,JT,American Express Company ,AXP,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Apple Inc. ,AAPL,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Applied Materials, Inc. ",AMAT,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"AutoZone, Inc. ",AZO,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Berkshire Hathaway Inc. New,BRK.B,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"BlackRock, Inc. ",BLK,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Boston Scientific Corporation ,BSX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Caterpillar, Inc. ",CAT,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Chevron Corporation ,CVX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Chipotle Mexican Grill, Inc. ",CMG,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Coca,NaN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Comcast Corporation,CMCSA,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,ConocoPhillips ,COP,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Constellation Brands, Inc. ",STZ,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Costco Wholesale Corporation ,COST,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,CSX Corporation ,CSX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Danaher Corporation ,DHR,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Deere & Company ,DE,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Edwards Lifesciences Corporation,EW,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Elevance Health, Inc. ",ELV,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Emerson Electric Company ,EMR,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Fiserv, Inc. ",FI,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Goldman Sachs Group, Inc. ",GS,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Hilton Worldwide Holdings Inc.,HLT,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Home Depot, Inc. ",HD,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Honeywell International Inc. ,HON,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Intercontinental Exchange Inc. ,ICE,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,JP Morgan Chase & Co. ,JPM,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,KLA Corporation ,KLAC,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Lam Research Corporation ,LRCX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Mastercard Incorporated ,MA,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Meta Platforms, Inc.",NaN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Microsoft Corporation ,MSFT,S,12/04/2023,12/04/2023,"$15,001 - $50,000",New,
Curtis,20024152,JT,"Nike, Inc. ",NKE,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,NVIDIA Corporation ,NVDA,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Palo Alto Networks, Inc. ",PANW,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Pepsico, Inc. ",PEP,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Procter & Gamble Company ,PG,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,RTX Corporation ,RTX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,S&P Global Inc. ,SPGI,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,"Salesforce, Inc. ",CRM,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Sherwin,NaN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Starbucks Corporation ,SBUX,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Texas Instruments Incorporated,TXN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Thermo Fisher Scientific Inc ,TMO,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,T,NaN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Union Pacific Corporation ,UNP,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,UnitedHealth Group Incorporated,NaN,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Valero Energy Corporation ,VLO,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Visa Inc. ,V,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20024152,JT,Zoetis Inc. Class A ,ZTS,S,12/04/2023,12/04/2023,"$1,001 - $15,000",New,
Curtis,20023867,JT,WINNEBAGO CNTY WIS GO,NaN,P,11/09/2023,11/14/2023,"$15,001 - $50,000",New,"Winnebago County, Wisconsin"
Curtis,20023799,JT,TEXAS ST GO MOBILITY FD BDS A,NaN,P,09/22/2023,10/02/2023,"$1,001 - $15,000",New,Texas State
Curtis,20023799,JT,Abbott Laboratories ,ABT,P,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,Adobe Inc. ,ADBE,S (partial),09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,Eli Lilly and Company ,LLY,P,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,Emerson Electric Company ,EMR,P,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,Johnson & Johnson ,JNJ,S,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,"Palo Alto Networks, Inc. ",PANW,P,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,Union Pacific Corporation ,UNP,S (partial),09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023799,JT,"Waste Management, Inc. ",WM,S,09/13/2023,10/02/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,"Advanced Micro Devices, Inc. S",AMD,S (partial),06/21/2023,07/17/2023,"$1,001 - $15,000",Amended,
Curtis,20023444,JT,"Applied Materials, Inc. ",AMAT,S,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Coca,NaN,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Edwards Lifesciences Corporation,EW,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Lam Research Corporation ,LRCX,S (partial),06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Microsoft Corporation ,MSFT,S (partial),06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Sherwin,SHW,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Sysco Corporation ,SYY,S,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,T,NaN,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,UnitedHealth Group Incorporated,NaN,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023444,JT,Valero Energy Corporation ,VLO,P,06/21/2023,07/17/2023,"$1,001 - $15,000",New,
Curtis,20023061,JT,Microsoft Corporation ,MSFT,S (partial),05/11/2023,05/15/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,UNION CNTY N C LTD OBLIG REF,NaN,P,04/27/2023,05/02/2023,"$1,001 - $15,000",New,"Union County, NC"
Curtis,20022721,JT,Berkshire Hathaway Inc. New,BRK.B,P,04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,Boston Scientific Corporation ,BSX,S (partial),04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,"Caterpillar, Inc. ",CAT,S (partial),04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,CSX Corporation ,CSX,P,04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,Edwards Lifesciences Corporation,EW,P,04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,"Elevance Health, Inc. ",ELV,P,04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,NVIDIA Corporation ,NVDA,S (partial),04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,Starbucks Corporation ,SBUX,S (partial),04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022721,JT,Visa Inc. ,V,S (partial),04/26/2023,05/02/2023,"$1,001 - $15,000",New,
Curtis,20022624,JT,Bank of America Corporation ,BAC,S (partial),03/16/2023,03/15/2023,"$1,001 - $15,000",New,
Curtis,20022624,JT,Berkshire Hathaway Inc. New,BRK.B,P,03/16/2023,03/15/2023,"$1,001 - $15,000",New,
Curtis,20022624,JT,FIRST REPUBLIC BANK ,NaN,S,03/16/2023,03/15/2023,"$1,001 - $15,000",New,
Curtis,20022624,JT,OAK CREEK WIS NT ANTIC,NaN,P,03/14/2023,03/15/2023,"$15,001 - $50,000",New,"Oak Creek, WI"
Curtis,20022561,JT,Alphabet Inc.,NaN,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,"Amazon.com, Inc. ",AMZN,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Apple Inc. ,AAPL,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Boston Scientific Corporation ,BSX,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Chevron Corporation ,CVX,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Costco Wholesale Corporation S,COST,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,JP Morgan Chase & Co. ,JPM,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Mastercard Incorporated ,MA,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,"Meta Platforms, Inc.",META,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Microsoft Corporation ,MSFT,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,NVIDIA Corporation ,NVDA,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Procter & Gamble Company ,PG,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Raytheon Technologies Corporation S,RTX,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,Thermo Fisher Scientific Inc ,TMO,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,
Curtis,20022561,JT,UnitedHealth Group Incorporated S,NaN,S (partial),02/23/2023,03/08/2023,"$1,001 - $15,000",New,"Hon. John Curtis , 03/13/2023"
Curtis,20022423,JT,OSHKOSH WIS AREA SCH DIST GO,NaN,P,01/27/2023,01/30/2023,"$1,001 - $15,000",New,"Oshkosh, WI"
DelBene,20022183,JT,Round Rock Tex Indpt SCH,NaN,S,12/19/2022,12/19/2022,"$500,001 - $1,000,000",New,
DelBene,20022183,JT,Arizona Indl Dev Auth Rev,NaN,P,12/16/2022,12/16/2022,"$500,001 - $1,000,000",New,
DelBene,20022183,JT,Connecticut ST Go BDS 2018,C,S,12/16/2022,12/16/2022,"$500,001 - $1,000,000",New,
