first_name,last_name,full_name,prefix,source_doc_id,source_line
Suzan,DelBene,Suzan DelBene,Hon.,20030541,"{'Member': 'DelBene', 'Prefix': 'Hon.', 'FirstName': 'Suzan K.', 'LastName': 'DelBene', 'DocID': '20030541', 'Owner': 'JT', 'Asset': 'Ohio ST Higher Ed Go BDS Ser. 2025', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '06/04/2025', 'Notification Date': '06/04/2025', 'Amount': '$1 - $1,000', 'Filing Status': 'New', 'Description': ''}"
April,Delaney,April Delaney,Hon.,20030592,"{'Member': 'Delaney', 'Prefix': 'Hon.', 'FirstName': 'April McClain', 'LastName': 'Delaney', 'DocID': '20030592', 'Owner': 'DC', 'Asset': 'Paychex, Inc. - Common Stock', 'Ticker': 'PAYX', 'Transaction Type': 'P', 'Transaction Date': '06/26/2025', 'Notification Date': '07/01/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Debbie,Dingell,Debbie Dingell,Hon.,20029053,"{'Member': 'Dingell', 'Prefix': 'Hon.', 'FirstName': 'Debbie', 'LastName': 'Dingell', 'DocID': '20029053', 'Owner': 'JT', 'Asset': 'GOVERNMENT NATIONAL', 'Ticker': '', 'Transaction Type': 'P', 'Transaction Date': '03/28/2025', 'Notification Date': '03/31/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Corporate Bond; Maturity Date - 03/20/2055; Coupon Rate - 6% Fixed'}"
Lloyd,Doggett,Lloyd Doggett,Hon.,20026535,"{'Member': 'Doggett', 'Prefix': 'Hon.', 'FirstName': 'Lloyd', 'LastName': 'Doggett', 'DocID': '20026535', 'Owner': 'JT', 'Asset': 'Coca-Cola Company', 'Ticker': 'KO', 'Transaction Type': 'P', 'Transaction Date': '12/16/2024', 'Notification Date': '01/06/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Reinvest Shares'}"
Neal,Dunn,Neal Dunn,Hon.,20027895,"{'Member': 'Dunn', 'Prefix': 'Hon.', 'FirstName': 'Neal Patrick MD, Facs', 'LastName': 'Dunn', 'DocID': '20027895', 'Owner': 'SP', 'Asset': 'MicroStrategy Incorporated - Class A', 'Ticker': '', 'Transaction Type': 'P', 'Transaction Date': '12/24/2024', 'Notification Date': '03/05/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: IRA #1'}"
Dwight,Evans,Dwight Evans,Hon.,20029062,"{'Member': 'Evans', 'Prefix': 'Hon.', 'FirstName': 'Dwight', 'LastName': 'Evans', 'DocID': '20029062', 'Owner': 'JT', 'Asset': 'Amazon.com, Inc. - Common Stock', 'Ticker': 'AMZN', 'Transaction Type': 'S', 'Transaction Date': '10/29/2024', 'Notification Date': '04/02/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: PERSHING LLC'}"
Fields,Fields,Fields Fields,,20030472,"{'Member': 'Fields', 'Prefix': '', 'FirstName': 'Cleo', 'LastName': 'Fields', 'DocID': '20030472', 'Owner': 'JT', 'Asset': 'Amazon.com, Inc. - Common Stock', 'Ticker': 'AMZN', 'Transaction Type': 'P', 'Transaction Date': '06/30/2025', 'Notification Date': '06/30/2025', 'Amount': '$100,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: Morgan Stanley - E*TRADE - Fields Law Firm 2, LLC'}"
Virginia,Foxx,Virginia Foxx,Hon.,20026516,"{'Member': 'Foxx', 'Prefix': 'Hon.', 'FirstName': 'Virginia', 'LastName': 'Foxx', 'DocID': '20026516', 'Owner': 'JT', 'Asset': 'Ellington Financial Inc. 7.00% Series', 'Ticker': '', 'Transaction Type': 'P', 'Transaction Date': '12/30/2024', 'Notification Date': '01/06/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Scott,Franklin,Scott Franklin,Hon.,20030494,"{'Member': 'Franklin', 'Prefix': 'Hon.', 'FirstName': 'Scott Scott', 'LastName': 'Franklin', 'DocID': '20030494', 'Owner': 'SP', 'Asset': 'Automatic Data Processing, Inc. -', 'Ticker': 'ADP', 'Transaction Type': 'P', 'Transaction Date': '09/25/2024', 'Notification Date': '05/19/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Fidelity Roth IRA'}"
Brandon,Gill,Brandon Gill,Hon.,20030417,"{'Member': 'Gill', 'Prefix': 'Hon.', 'FirstName': 'Brandon', 'LastName': 'Gill', 'DocID': '20030417', 'Owner': 'JT', 'Asset': 'Bitcoin', 'Ticker': 'CT', 'Transaction Type': 'P', 'Transaction Date': '05/18/2025', 'Notification Date': '05/18/2025', 'Amount': '$50,001 -', 'Filing Status': 'New', 'Description': ''}"
Daniel,Goldman,Daniel Goldman,Hon.,20027916,"{'Member': 'Goldman', 'Prefix': 'Hon.', 'FirstName': 'Daniel', 'LastName': 'Goldman', 'DocID': '20027916', 'Owner': 'JT', 'Asset': '& Global Inc. Common Stock', 'Ticker': 'SPGI', 'Transaction Type': 'S', 'Transaction Date': '02/11/2025', 'Notification Date': '03/06/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: Daniel Goldman 1997 Trust > DSG Investment Holdings LLC > Brokerage'}"
Josh,Gottheimer,Josh Gottheimer,Hon.,20026533,"{'Member': 'Gottheimer', 'Prefix': 'Hon.', 'FirstName': 'Josh', 'LastName': 'Gottheimer', 'DocID': '20026533', 'Owner': 'JT', 'Asset': 'Block, Inc. Class A Common Stock', 'Ticker': 'SQ', 'Transaction Type': 'P', 'Transaction Date': '12/30/2024', 'Notification Date': '01/07/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Morgan Stanley - Select UMA Account # 1'}"
Kevin,Hern,Kevin Hern,Hon.,20026597,"{'Member': 'Hern', 'Prefix': 'Hon.', 'FirstName': 'Kevin', 'LastName': 'Hern', 'DocID': '20026597', 'Owner': 'JT', 'Asset': 'AGCO Corporation Common Stock', 'Ticker': 'AGCO', 'Transaction Type': 'S', 'Transaction Date': '12/31/2024', 'Notification Date': '01/02/2025', 'Amount': '$50,001 -', 'Filing Status': 'New', 'Description': 'sell to close'}"
James,Hill,James Hill,Hon.,20026706,"{'Member': 'Hill', 'Prefix': 'Hon.', 'FirstName': 'James French', 'LastName': 'Hill', 'DocID': '20026706', 'Owner': 'JT', 'Asset': 'CVS Health Corporation Common', 'Ticker': 'CVS', 'Transaction Type': 'S', 'Transaction Date': '01/31/2025', 'Notification Date': '01/31/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: HILL FAMILY FUND'}"
Jonathan,Jackson,Jonathan Jackson,Hon.,20026545,"{'Member': 'Jackson', 'Prefix': 'Hon.', 'FirstName': 'Jonathan', 'LastName': 'Jackson', 'DocID': '20026545', 'Owner': 'JT', 'Asset': 'General Dynamics Corporation', 'Ticker': 'GD', 'Transaction Type': 'S', 'Transaction Date': '12/16/2024', 'Notification Date': '01/09/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: Morgan Stanley Trust Account'}"
Julie,Johnson,Julie Johnson,Hon.,20030474,"{'Member': 'Johnson', 'Prefix': 'Hon.', 'FirstName': 'Julie', 'LastName': 'Johnson', 'DocID': '20030474', 'Owner': 'JT', 'Asset': 'Capital One Financial Corporation', 'Ticker': 'COF', 'Transaction Type': 'E', 'Transaction Date': '05/19/2025', 'Notification Date': '06/06/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Discover Financial Services stock exchanged for Capital One Financial Services stock following merger'}"
Thomas,Kean,Thomas Kean,Hon.,20026591,"{'Member': 'Kean', 'Prefix': 'Hon.', 'FirstName': 'Thomas H.', 'LastName': 'Kean', 'DocID': '20026591', 'Owner': 'JT', 'Asset': 'Canadian Pacific Kansas City Limited', 'Ticker': '', 'Transaction Type': 'P', 'Transaction Date': '12/27/2024', 'Notification Date': '01/06/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Kean Family Partnership'}"
William,Keating,William Keating,Hon.,20030174,"{'Member': 'Keating', 'Prefix': 'Hon.', 'FirstName': 'William R.', 'LastName': 'Keating', 'DocID': '20030174', 'Owner': 'JT', 'Asset': 'PEPSICO INC NOTE CALL MAKE', 'Ticker': 'PEP', 'Transaction Type': 'S', 'Transaction Date': '06/09/2025', 'Notification Date': '06/23/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': '713448FM5'}"
Mike,Kelly,Mike Kelly,Hon.,20026550,"{'Member': 'Kelly', 'Prefix': 'Hon.', 'FirstName': 'Mike', 'LastName': 'Kelly', 'DocID': '20026550', 'Owner': 'SP', 'Asset': 'Mississippi St Ref GO /R 10/1/27 5%', 'Ticker': '', 'Transaction Type': 'P', 'Transaction Date': '12/27/2024', 'Notification Date': '01/09/2025', 'Amount': '5%', 'Filing Status': 'New', 'Description': 'Subholding of: Victoria Kelly Trust ICA'}"
Brad,Knott,Brad Knott,Hon.,20027846,"{'Member': 'Knott', 'Prefix': 'Hon.', 'FirstName': 'Brad', 'LastName': 'Knott', 'DocID': '20027846', 'Owner': 'JT', 'Asset': 'CompoSecure, Inc. - Class A Common', 'Ticker': 'CMPO', 'Transaction Type': 'P', 'Transaction Date': '01/14/2025', 'Notification Date': '01/14/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Charles Schwab Brokerage Account 1'}"
Greg,Landsman,Greg Landsman,Hon.,20026551,"{'Member': 'Landsman', 'Prefix': 'Hon.', 'FirstName': 'Greg', 'LastName': 'Landsman', 'DocID': '20026551', 'Owner': 'JT', 'Asset': 'BlackRock, Inc. Common Stock', 'Ticker': 'BLK', 'Transaction Type': 'P', 'Transaction Date': '12/19/2024', 'Notification Date': '01/09/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Rockefeller Capital Management (1)'}"
Rick,Larsen,Rick Larsen,Hon.,20030158,"{'Member': 'Larsen', 'Prefix': 'Hon.', 'FirstName': 'Rick', 'LastName': 'Larsen', 'DocID': '20030158', 'Owner': 'JT', 'Asset': 'American Express Company Common', 'Ticker': 'AXP', 'Transaction Type': 'P', 'Transaction Date': '04/09/2025', 'Notification Date': '04/11/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Part of quarterly rebalance'}"
Robert,Latta,Robert Latta,Hon.,20030480,"{'Member': 'Latta', 'Prefix': 'Hon.', 'FirstName': 'Robert E.', 'LastName': 'Latta', 'DocID': '20030480', 'Owner': 'SP', 'Asset': 'Farmers & Merchants Bancorp, Inc', 'Ticker': 'FMAO', 'Transaction Type': 'P', 'Transaction Date': '06/05/2025', 'Notification Date': '06/05/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Compensation'}"
Laurel,Lee,Laurel Lee,Hon.,20026513,"{'Member': 'Lee', 'Prefix': 'Hon.', 'FirstName': 'Laurel', 'LastName': 'Lee', 'DocID': '20026513', 'Owner': 'SP', 'Asset': 'TuHURA Biosciences, Inc. - Common', 'Ticker': 'HURA', 'Transaction Type': 'P', 'Transaction Date': '11/25/2024', 'Notification Date': '01/05/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Susie,Lee,Susie Lee,Hon.,20029082,"{'Member': 'Lee', 'Prefix': 'Hon.', 'FirstName': 'Susie', 'LastName': 'Lee', 'DocID': '20029082', 'Owner': 'JT', 'Asset': 'Carnival Corporation Common Stock', 'Ticker': 'CCL', 'Transaction Type': 'S', 'Transaction Date': '03/14/2025', 'Notification Date': '03/14/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Suzanne K Lee Trust > Fidelity Brokerage 402'}"
Kathy,Manning,Kathy Manning,Hon.,20026638,"{'Member': 'Manning', 'Prefix': 'Hon.', 'FirstName': 'Kathy', 'LastName': 'Manning', 'DocID': '20026638', 'Owner': 'JT', 'Asset': 'Seven Bridges Emerging Markets', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '12/31/2024', 'Notification Date': '01/22/2025', 'Amount': '$500,001 -', 'Filing Status': 'New', 'Description': 'Hedge fund. Fund manager letter on file with the Committee on Ethics.'}"
John,McGuire,John McGuire,Hon.,20030509,"{'Member': 'McGuire', 'Prefix': 'Hon.', 'FirstName': 'John', 'LastName': 'McGuire', 'DocID': '20030509', 'Owner': 'SP', 'Asset': 'ServiceNow, Inc. Common Stock', 'Ticker': 'NOW', 'Transaction Type': 'P', 'Transaction Date': '05/16/2025', 'Notification Date': '05/30/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Merrill Lynch SEP IRA'}"
Max,Miller,Max Miller,Hon.,20030585,"{'Member': 'Miller', 'Prefix': 'Hon.', 'FirstName': 'Max', 'LastName': 'Miller', 'DocID': '20030585', 'Owner': 'JT', 'Asset': 'Mercato Partners Traverse IV QP, LP', 'Ticker': 'GLAS Funds, LP', 'Transaction Type': 'P', 'Transaction Date': '06/30/2025', 'Notification Date': '06/30/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: 2012 Trust'}"
Dave,Min,Dave Min,Hon.,20029100,"{'Member': 'Min', 'Prefix': 'Hon.', 'FirstName': 'Dave', 'LastName': 'Min', 'DocID': '20029100', 'Owner': 'JT', 'Asset': 'First Solar, Inc. - Common Stock', 'Ticker': 'FSLR', 'Transaction Type': 'S', 'Transaction Date': '03/19/2025', 'Notification Date': '03/31/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Tim,Moore,Tim Moore,Hon.,20030516,"{'Member': 'Moore', 'Prefix': 'Hon.', 'FirstName': 'Tim', 'LastName': 'Moore', 'DocID': '20030516', 'Owner': 'JT', 'Asset': 'Direxion Daily Small Cap Bull 3X ETF', 'Ticker': 'TNA', 'Transaction Type': 'P', 'Transaction Date': '05/27/2025', 'Notification Date': '06/02/2025', 'Amount': '$1 - $1,000', 'Filing Status': 'New', 'Description': 'ETF'}"
Kelly,Morrison,Kelly Morrison,Hon.,20030475,"{'Member': 'Morrison', 'Prefix': 'Hon.', 'FirstName': 'Kelly Louise', 'LastName': 'Morrison', 'DocID': '20030475', 'Owner': 'JT', 'Asset': 'Houlihan Lokey, Inc. Class A', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '06/04/2025', 'Notification Date': '06/04/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Trust 5'}"
Jared,Moskowitz,Jared Moskowitz,Hon.,20030455,"{'Member': 'Moskowitz', 'Prefix': 'Hon.', 'FirstName': 'Jared', 'LastName': 'Moskowitz', 'DocID': '20030455', 'Owner': 'JT', 'Asset': 'HCA Healthcare, Inc. Common Stock', 'Ticker': 'HCA', 'Transaction Type': 'P', 'Transaction Date': '05/15/2025', 'Notification Date': '05/31/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Morgan Stanley Active Assets (1)'}"
Dan,Newhouse,Dan Newhouse,Hon.,20030292,"{'Member': 'Newhouse', 'Prefix': 'Hon.', 'FirstName': 'Dan', 'LastName': 'Newhouse', 'DocID': '20030292', 'Owner': 'SP', 'Asset': 'Alcan Inc Debs', 'Ticker': 'CS', 'Transaction Type': 'P', 'Transaction Date': '04/11/2025', 'Notification Date': '05/01/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': '12/15/2033 06.125%'}"
Eleanor,Norton,Eleanor Norton,Hon.,20027950,"{'Member': 'Norton', 'Prefix': 'Hon.', 'FirstName': 'Eleanor Holmes', 'LastName': 'Norton', 'DocID': '20027950', 'Owner': 'Berkshire', 'Asset': 'Hathaway Inc. New', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '(partial)', 'Notification Date': '03/05/2025', 'Amount': '03/11/2025', 'Filing Status': 'New', 'Description': 'Subholding of: MERRILL LYNCH #806'}"
Scott,Peters,Scott Peters,Hon.,20026577,"{'Member': 'Peters', 'Prefix': 'Hon.', 'FirstName': 'Scott H.', 'LastName': 'Peters', 'DocID': '20026577', 'Owner': 'SP', 'Asset': 'U. Treasury Bills', 'Ticker': 'GS', 'Transaction Type': 'P', 'Transaction Date': '12/30/2024', 'Notification Date': '12/31/2024', 'Amount': '$500,001 -', 'Filing Status': 'New', 'Description': ''}"
August,Pfluger,August Pfluger,Hon.,20021220,"{'Member': 'Pfluger', 'Prefix': 'Hon.', 'FirstName': 'August Lee', 'LastName': 'Pfluger', 'DocID': '20021220', 'Owner': 'SP', 'Asset': 'Warner Bros. Discovery, Inc. - Series', 'Ticker': 'WBD', 'Transaction Type': 'S', 'Transaction Date': '01/13/2025', 'Notification Date': '02/07/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: RBC Roth IRA'}"
Chellie,Pingree,Chellie Pingree,Hon.,20030492,"{'Member': 'Pingree', 'Prefix': 'Hon.', 'FirstName': 'Chellie', 'LastName': 'Pingree', 'DocID': '20030492', 'Owner': 'JT', 'Asset': 'United States Treasury Notes; 4.25%', 'Ticker': 'UAL', 'Transaction Type': 'S', 'Transaction Date': '05/09/2025', 'Notification Date': '06/09/2025', 'Amount': '4.25%', 'Filing Status': 'New', 'Description': ''}"
Emily,Randall,Emily Randall,Hon.,20026756,"{'Member': 'Randall', 'Prefix': 'Hon.', 'FirstName': 'Emily', 'LastName': 'Randall', 'DocID': '20026756', 'Owner': 'SP', 'Asset': 'Abbott Laboratories Common Stock', 'Ticker': 'ABT', 'Transaction Type': 'S', 'Transaction Date': '01/06/2025', 'Notification Date': '02/10/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Garret D. Leahey 2019 Irrevocable F/B/O Alison Leahey'}"
Guy,Reschenthaler,Guy Reschenthaler,Hon.,20026547,"{'Member': 'Reschenthaler', 'Prefix': 'Hon.', 'FirstName': 'Guy Mr', 'LastName': 'Reschenthaler', 'DocID': '20026547', 'Owner': 'JT', 'Asset': 'BTC', 'Ticker': 'Bitcoin', 'Transaction Type': 'P', 'Transaction Date': '12/23/2024', 'Notification Date': '12/23/2024', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
John,Rose,John Rose,Hon.,20030611,"{'Member': 'Rose', 'Prefix': 'Hon.', 'FirstName': 'John W.', 'LastName': 'Rose', 'DocID': '20030611', 'Owner': 'JT', 'Asset': 'FIMM MONEY MARKET PORT', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '06/23/2025', 'Notification Date': '06/24/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'FIMM MONEY MARKET PORT FUND INSTL CL M/M (FNSXX)'}"
Bradley,Schneider,Bradley Schneider,Hon.,20030594,"{'Member': 'Schneider', 'Prefix': 'Hon.', 'FirstName': 'Bradley S.', 'LastName': 'Schneider', 'DocID': '20030594', 'Owner': 'JT', 'Asset': '2000140313 Questek International, LLC', 'Ticker': 'PS', 'Transaction Type': 'S', 'Transaction Date': '06/09/2025', 'Notification Date': '06/09/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Redeemed stock with the company'}"
Pete,Sessions,Pete Sessions,Hon.,20030544,"{'Member': 'Sessions', 'Prefix': 'Hon.', 'FirstName': 'Pete', 'LastName': 'Sessions', 'DocID': '20030544', 'Owner': 'SP', 'Asset': 'Danaher Corporation Common Stock', 'Ticker': 'DHR', 'Transaction Type': 'S', 'Transaction Date': '06/12/2025', 'Notification Date': '06/21/2025', 'Amount': '$50,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: Trust One'}"
Terri,Sewell,Terri Sewell,Hon.,20030235,"{'Member': 'Sewell', 'Prefix': 'Hon.', 'FirstName': 'Terri A.', 'LastName': 'Sewell', 'DocID': '20030235', 'Owner': 'JT', 'Asset': 'Apple Inc. - Common Stock', 'Ticker': 'AAPL', 'Transaction Type': 'P', 'Transaction Date': '04/10/2025', 'Notification Date': '04/11/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Jefferson,Shreve,Jefferson Shreve,Hon.,20030387,"{'Member': 'Shreve', 'Prefix': 'Hon.', 'FirstName': 'Jefferson', 'LastName': 'Shreve', 'DocID': '20030387', 'Owner': 'JT', 'Asset': 'Citigroup Inc 5.875 2033-02-22', 'Ticker': 'CS', 'Transaction Type': 'S', 'Transaction Date': '05/13/2025', 'Notification Date': '05/15/2025', 'Amount': '$1 - $1,000', 'Filing Status': 'New', 'Description': 'Account Closing'}"
Victoria,Spartz,Victoria Spartz,Hon.,20030233,"{'Member': 'Spartz', 'Prefix': 'Hon.', 'FirstName': 'Victoria', 'LastName': 'Spartz', 'DocID': '20030233', 'Owner': 'SP', 'Asset': 'Simon Property Group, Inc. Common', 'Ticker': 'SPG', 'Transaction Type': 'P', 'Transaction Date': '04/03/2025', 'Notification Date': '04/20/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'This Transaction was made by Jason Spartz (spouse) Roth IRA'}"
Greg,Steube,Greg Steube,Hon.,20024927,"{'Member': 'Steube', 'Prefix': 'Hon.', 'FirstName': 'Greg', 'LastName': 'Steube', 'DocID': '20024927', 'Owner': 'SP', 'Asset': 'Synovus Financial Corp. Common', 'Ticker': 'SNV', 'Transaction Type': 'S', 'Transaction Date': '02/19/2025', 'Notification Date': '03/19/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Company distribution'}"
Thomas,Suozzi,Thomas Suozzi,Hon.,20030188,"{'Member': 'Suozzi', 'Prefix': 'Hon.', 'FirstName': 'Thomas', 'LastName': 'Suozzi', 'DocID': '20030188', 'Owner': 'JT', 'Asset': 'Global Industrial Company Common', 'Ticker': 'GIC', 'Transaction Type': 'S', 'Transaction Date': '03/31/2025', 'Notification Date': '04/01/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': ''}"
David,Taylor,David Taylor,Hon.,20030567,"{'Member': 'Taylor', 'Prefix': 'Hon.', 'FirstName': 'David J.', 'LastName': 'Taylor', 'DocID': '20030567', 'Owner': 'JT', 'Asset': 'JP Morgan Chase & Co. Common', 'Ticker': 'JPM', 'Transaction Type': 'S', 'Transaction Date': '06/11/2025', 'Notification Date': '06/24/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: David Taylor Trust > Schwab Joint Brokerage #1 (Home Grown)'}"
Michael,Waltz,Michael Waltz,Hon.,20026639,"{'Member': 'Waltz', 'Prefix': 'Hon.', 'FirstName': 'Michael', 'LastName': 'Waltz', 'DocID': '20026639', 'Owner': 'JT', 'Asset': 'BoodleAI', 'Ticker': 'PS', 'Transaction Type': 'E', 'Transaction Date': '12/24/2024', 'Notification Date': '12/27/2024', 'Amount': '$50,001 -', 'Filing Status': 'New', 'Description': 'Simple Agreement for Future Equity. Mandatory conversion of preferred stock for common stock.'}"
